name,id,designation,system id,tech/manufacturer,tags,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,breakProb,minPieces,maxPieces,number
原罪魔王,valk_azmodaeus,泰坦舰,,女武神-奥肯制造集团,"no_drop, no_bp_drop, restricted",60,55000,3000,75000,,4000,450,,25,7.5,7.5,2.5,2.5,12500,FRONT,,295,0.4,1,,,1500,2750,3500,3000,200,20,6,7500000,5,50,,,100,100,HIDE_IN_CODEX,0.7,3,6,
梵蒂冈 Mk.II,valk_vatican_II,超级战舰,valk_inferniumdrive,女武神-奥肯制造集团,"no_drop, no_bp_drop, restricted",40,25000,1500,25000,,1200,400,1,25,10,10,5,4,5000,FRONT,,220,0.4,1,,,1000,2000,800,1000,30,33,6,800000,3,15,720,0.25,80,80,HIDE_IN_CODEX,0.7,3,6,
梵蒂冈 Mk.I,valk_vatican_I,无畏航母,forgevats,女武神-奥肯制造集团,rare_bp,30,20000,1500,18000,,750,320,6,30,15,10,7,5,3000,FRONT,,220,0.4,1,,,600,1200,400,500,20,33,7,700000,3,15,600,0.25,60,60,CARRIER,0.7,3,6,
约书亚 Mk.VI,valk_yoshura_VI,航母,valk_boostrefit,女武神-奥肯制造集团,rare_bp,28,14000,1250,15000,,700,240,5,35,15,15,6,6,2500,FRONT,,220,0.5,0.8,,,750,1200,300,300,15,20,7,400000,3,15,720,0.25,45,45,"CARRIER, COMBAT, NO_AUTO_ESCORT",0.7,3,6,
约书亚之本,valk_yoshura_prime,无畏舰,valk_valiant_defense,女武神-奥肯制造集团,"no_drop, no_bp_drop, restricted",35,22000,1600,28000,,1400,300,,25,10,10,5,2,4500,FRONT,,270,0.5,1,,,900,1500,500,750,15,50,7,1000000,3,15,720,0.25,70,70,,0.7,3,6,
约书亚,valk_yoshura,战列舰,valk_inferniumdrive,女武神-奥肯制造集团,valk_archon_bp,28,18000,1600,20000,,1000,270,,25,15,10,5,2,5000,FRONT,,270,0.4,1,,,550,750,500,750,15,50,7,400000,2,20,720,0.25,50,50,,0.7,3,6,
赞美 Mk.III,valk_almire_III,战列巡洋舰,valk_overcharge,女武神-地平线船坞,rare_bp,25,16000,1400,23000,,1100,220,,55,30,20,6,6,3750,FRONT,,270,0.4,1,,,525,750,400,500,10,50,7,400000,2,20,600,0.25,50,50,,0.7,3,6,
荣光,valk_radiance,战列舰,valk_inferniumdrive,女武神-奥肯制造集团,rare_bp,30,20000,1600,24000,,1200,240,,25,20,15,4,4,3500,FRONT,,270,0.4,0.8,,,650,800,350,500,15,33,7,500000,3,15,720,0.25,55,55,,0.7,3,6,
三头犬,valk_cherberos,战列巡洋舰,valk_burstdrive,女武神-奥肯制造集团,rare_bp,25,15000,1250,16000,,600,240,,50,25,20,6,8,3000,FRONT,,270,0.4,1,,,400,500,300,300,10,30,8,300000,2,20,600,0.25,40,40,,0.7,3,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哀歌,valk_elegy,攻城舰,valk_overcharge,女武神-奥肯制造集团,valk_archon_bp,16,9000,1350,12500,,600,140,,45,35,30,16,12,1250,FRONT,,180,0.3,0.8,,,200,350,150,120,3,35,7,150000,4,24,600,0.25,30,30,,0.6,4,6,
赞美 Mk.II,valk_almire_II,巡洋舰,valk_overcharge,女武神-地平线船坞,valk_horizon_bp,18,10000,1000,12000,,700,140,,60,45,25,15,20,1550,FRONT,,180,0.4,0.8,,,250,350,150,150,4,35,8,180000,4,16,540,0.25,27,27,,0.6,3,5,
赞美 MK.I,valk_almire_I,轻型巡洋舰,valk_overcharge,女武神-地平线船坞,valk_horizon_bp,14,8000,750,9000,,450,125,,70,50,40,20,20,1350,FRONT,,180,0.4,0.8,,,180,250,120,75,3,25,8,100000,4,16,540,0.25,18,18,,0.6,3,5,
极乐天堂 Mk.II,valk_nirvana_II,超甲巡洋舰,valk_inferniumdrive,女武神-奥肯制造集团,valk_archon_bp,25,15000,1400,13000,,600,180,,45,45,30,12,12,1800,FRONT,,180,0.4,0.8,,,275,375,120,150,5,30,8,250000,4,12,540,0.25,40,40,,0.6,3,5,
极乐天堂 Mk.I,valk_nirvana_I,巡洋舰,valk_inferniumdrive,女武神-奥肯制造集团,valk_archon_bp,16,9000,1200,10000,,500,140,,45,30,20,14,12,1550,FRONT,,180,0.4,0.8,,,225,325,120,100,3,30,8,100000,5,20,540,0.25,25,25,,0.6,3,5,
翡翠,valk_emerald,货舰,valk_inferniumdrive,女武神-奥肯制造集团,valk_archon_bp,10,5000,600,3000,,200,55,,45,15,10,15,10,1000,FRONT,,180,0.4,0.8,,,75,100,750,500,2,25,8,50000,2,12,360,0.25,9,9,"CIVILIAN,FREIGHTER",0.6,3,5,
海伦,valk_heron_b,航母,targetingfeed,女武神-奥肯制造集团,valk_archon_bp,15,8000,1000,4000,,300,110,2,50,25,20,25,25,1250,FRONT,,180,0.5,0.8,,,200,250,200,250,3,20,9,45000,5,20,420,0.25,16,16,CARRIER,0.6,3,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电火花,valk_eclair,驱逐舰,valk_chargingjets,女武神-奥肯制造集团,valk_archon_bp,10,6000,750,6000,,450,70,,70,60,40,30,30,950,FRONT,,180,0.4,0.8,,,80,120,60,50,3,20,8,35000,5,15,420,0.25,12,12,,0.5,2,5,
极乐世界,valk_elysium,驱逐舰,valk_burstdrive,女武神-奥肯制造集团,valk_archon_bp,10,5500,800,5000,,350,80,,80,50,30,30,45,850,FRONT,,180,0.4,1,,,80,120,60,25,3,40,9,40000,4,12,420,0.25,10,10,,0.5,2,5,
