name,id,designation,system id,tech/manufacturer,tags,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,breakProb,minPieces,maxPieces,number
原罪魔王(Azmodaeus),valk_azmodaeus,泰坦舰,,女武神-奥肯制造集团,no_bp_drop,60,55000,3000,75000,,4000,450,,25,7.5,7.5,2.5,2.5,12500,FRONT,,295,0.4,1,,,1500,2750,3500,3000,200,20,6,7500000,5,50,,,100,100,HIDE_IN_CODEX,0.7,3,6,
梵蒂冈 Mk.II(Vatican Mk.II),valk_vatican_II,超级战舰,valk_inferniumdrive,女武神-奥肯制造集团,no_bp_drop,40,25000,1500,25000,,1200,400,1,25,10,10,5,4,5000,FRONT,,220,0.4,1,,,1000,2000,800,1000,30,33,6,800000,3,15,720,0.5,80,80,HIDE_IN_CODEX,0.7,3,6,
梵蒂冈 Mk.I(Vatican Mk.I),valk_vatican_I,无畏航母,forgevats,女武神-奥肯制造集团,rare_bp,30,16000,1250,24000,,800,320,6,30,15,10,7,5,3000,FRONT,,220,0.4,1,,,600,1200,400,500,20,33,7,700000,3,15,600,0.5,55,55,CARRIER,0.7,3,6,
约书亚 Mk.VI(Yoshura Mk.VI),valk_yoshura_VI,航母,valk_boostrefit,女武神-奥肯制造集团,rare_bp,28,14000,1250,15000,,700,240,5,35,15,15,6,6,2500,FRONT,,220,0.5,0.8,,,750,1500,300,300,15,20,7,600000,3,12,720,0.5,45,45,CARRIER,0.7,3,6,
约书亚之本(Yoshura Prime),valk_yoshura_prime,无畏舰,valk_valiant_defense,女武神-奥肯制造集团,no_bp_drop,35,24000,1750,30000,,1500,275,,25,12.5,10,5,2,4500,FRONT,,220,0.5,0.9,,,625,850,500,750,15,50,7,800000,5,15,720,0.5,70,70,,0.7,3,6,
约书亚(Yoshura),valk_yoshura,战列舰,valk_inferniumdrive,女武神-奥肯制造集团,valk_archon_bp,30,18000,1600,20000,,1000,255,,25,15,10,5,2,5000,FRONT,,220,0.4,1,,,550,750,500,750,15,50,7,450000,5,20,720,0.5,50,50,,0.7,3,6,
赞美 Mk.III(Almire Mk.III),valk_almire_III,战列巡洋舰,valk_overcharge,女武神-地平线船坞,rare_bp,25,16000,1300,25000,,1250,220,,40,15,10,6,4,3750,FRONT,,270,0.4,1,,,525,750,750,1250,15,90,7,500000,4,20,600,0.2,55,55,,0.7,3,6,
荣光(Gloria),valk_radiance,战列舰,valk_inferniumdrive,女武神-奥肯制造集团,rare_bp,30,20000,1600,24000,,1200,240,,20,20,15,4,4,3550,FRONT,,270,0.4,0.8,,,650,800,350,500,20,25,7,750000,3,12,720,0.5,60,60,,0.7,3,6,
三头犬(Cherberos),valk_cherberos,战列巡洋舰,valk_inferniumdrive,女武神-奥肯制造集团,rare_bp,25,15000,1200,21000,,900,220,,45,15,10,7,8,3200,FRONT,,200,0.5,0.8,,,500,750,500,1000,15,45,7,400000,3,15,720,0.5,40,40,,0.7,3,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哀歌(Elegy),valk_elegy,攻城舰,valk_overcharge,女武神-奥肯制造集团,valk_archon_bp,16,9000,1250,12500,,600,180,,45,35,30,16,12,1250,FRONT,,180,0.3,0.7,,,200,350,150,120,3,35,7,150000,4,24,600,0.5,35,35,,0.6,4,6,
赞美 Mk.II(Almire Mk.II),valk_almire_II,巡洋舰,valk_overcharge,女武神-地平线船坞,valk_horizon_bp,18,10000,1000,13000,,700,130,,60,45,25,18,16,1550,FRONT,,180,0.45,0.8,,,255,375,150,150,4,35,7,180000,4,20,540,0.5,30,30,,0.6,3,5,
赞美 MK.I(Almire Mk.I),valk_almire_I,轻型巡洋舰,valk_overcharge,女武神-地平线船坞,valk_horizon_bp,14,7500,800,10500,,450,130,,65,50,40,20,18,1350,FRONT,,180,0.45,0.8,,,180,250,120,75,3,25,8,100000,4.5,18,540,0.5,21,21,,0.6,3,5,
极乐天堂 Mk.II(Nirvana Mk.II),valk_nirvana_II,超甲巡洋舰,valk_inferniumdrive,女武神-奥肯制造集团,valk_archon_bp,22,10000,1250,13500,,600,145,,45,25,20,12,12,2250,FRONT,,220,0.4,0.9,,,275,375,120,150,5,30,7,250000,4,12,540,0.5,35,35,,0.6,3,5,
极乐天堂 Mk.I(Nirvana Mk.I),valk_nirvana_I,巡洋舰,valk_inferniumdrive,女武神-奥肯制造集团,valk_archon_bp,16,8000,1000,10500,,550,120,,45,30,20,14,12,1550,FRONT,,180,0.45,0.8,,,225,325,120,100,3,30,8,100000,5,20,540,0.5,25,25,,0.6,3,5,
翡翠(Emerald),valk_emerald,货舰,valk_inferniumdrive,女武神-奥肯制造集团,valk_archon_bp,10,5000,600,3000,,200,55,,45,15,10,15,10,1000,FRONT,,180,0.45,0.8,,,75,100,750,500,2,25,8,50000,2,12,360,0.5,9,9,"CIVILIAN,FREIGHTER",0.6,3,5,
海伦(Heron),valk_heron_b,航母,targetingfeed,女武神-奥肯制造集团,valk_archon_bp,15,8000,1000,4000,,300,110,2,50,25,20,25,25,1250,FRONT,,180,0.5,0.8,,,200,250,200,250,3,20,9,45000,5,20,720,0.5,15,15,CARRIER,0.6,3,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电火花(Eclair),valk_eclair,重型驱逐舰,valk_overcharge,女武神-奥肯制造集团,valk_archon_bp,10,5000,550,6000,,450,70,,65,60,40,40,55,950,FRONT,,180,0.45,0.8,,,80,120,60,50,3,20,8,35000,5,20,420,0.4,12,12,,0.5,2,5,
极乐世界(Elysium),valk_elysium,驱逐舰,valk_inferniumdrive,女武神-奥肯制造集团,valk_archon_bp,12,6000,600,5000,,350,100,,70,60,55,45,35,850,FRONT,,180,0.45,1,,,100,160,60,25,3,40,9,40000,4,12,420,0.4,12,12,,0.5,2,5,
精灵王国(Elfheim),valk_elfheim,驱逐舰,valk_overcharge,女武神-奥肯制造集团,valk_archon_bp,10,4500,500,5000,,300,75,,60,55,35,40,55,750,FRONT,,300,0.45,0.8,,,80,120,65,50,2,20,9,30000,5,20,420,0.4,12,12,,0.5,2,5,
女武神 Mk.II(Valkyrie Mk.II),valk_valkyrie_b,轻型航母,fastmissileracks,女武神-奥肯制造集团,valk_archon_bp,10,3500,400,3250,,225,60,1,60,60,60,45,60,450,OMNI,,120,0.45,0.8,,,60,250,140,120,3,40,10,30000,5,15,420,0.4,8,8,CARRIER,0.5,2,5,
黄玉(Topaz),valk_topaz,燃油舰,valk_inferniumdrive,女武神-奥肯制造集团,valk_archon_bp,8,2500,350,2500,,175,50,,50,30,20,25,15,400,OMNI,,90,0.45,0.8,,,10,20,20,750,2,350,10,20000,2,16,420,0.4,6,6,CIVILIAN,0.5,2,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朗基努斯(Longinus),valk_longinus,护卫舰,ammofeed,女武神-地平线船坞,valk_horizon_bp,6,1550,250,2500,,350,55,,125,90,70,60,90,250,FRONT,,180,0.45,1,,,25,50,40,50,1,40,11,9500,10,20,260,0.2,3,3,,0.5,2,4,
伊莲娜(Ilena),valk_ilena,护卫舰,valk_phaseteleporter,女武神-地平线船坞,valk_horizon_bp,15,1000,250,3500,,275,35,,185,185,150,100,130,200,FRONT,,180,0.6,0.6,,,10,15,20,75,2,35,11,22750,20,40,220,0.4,15,15,,0.5,2,4,
审判官(Inquisitor),valk_inquisitor,重型护卫舰,valk_inferniumdrive,女武神-奥肯制造集团,valk_archon_bp,7,2750,425,2750,,225,45,,90,55,35,45,60,325,FRONT,,220,0.55,0.8,,,30,40,100,75,1,75,9,17500,15,45,280,0.4,4,4,,0.5,2,4,
杰诺瓦(Jenova),valk_jenova,护卫舰,valk_ecm_jammer,女武神-奥肯制造集团,valk_archon_bp,5,1850,300,2550,,155,30,,185,145,115,90,120,250,FRONT,,270,0.55,0.6,,,20,30,30,50,1,40,10,14250,8,24,300,0.4,2,2,,0.5,2,4,
勇者(Yuusha),valk_yuusha,炮舰,valk_overcharge,女武神-地平线船坞,valk_horizon_bp,4,1250,225,1500,,100,20,,175,130,110,90,120,200,FRONT,,120,0.45,1,,,10,15,25,50,1,40,10,3000,8,15,280,0.4,4,4,,0.5,2,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
誓约之剑(Excalibur),valk_excalibur,战术护卫,valk_overcharge,女武神-奥肯制造集团,,,600,250,300,,100,0,,150,125,100,100,120,150,FRONT,,240,0,1.0,,,2,2,,,,,,,,,,,,,,,,,
海莉亚(Helia),valk_helia,风暴护卫,,女武神-奥肯制造集团,,,500,150,500,,150,0,,185,100,100,100,140,120,FRONT,,180,0,1,,,2,2,,,,,,,,,,,,,,,,,
阿兹卡(Azgard),valk_azgard,重型战机,,女武神-地平线船坞,,,850,200,550,,255,0,,175,125,125,120,180,60,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,
萤火虫(Firefly),valk_firefly,激光战机,,女武神-地平线船坞,,,550,100,750,,300,0,,195,150,125,80,160,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,
雷击(Lightning),valk_lightning,突击战机,flarelauncher,女武神-地平线船坞,,,750,125,750,,225,0,,255,150,100,120,120,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,
蝮蛇之毒(Ancord),valk_ancord,重装轰炸机,flarelauncher,女武神-奥肯制造集团,,,400,75,300,,100,0,,180,150,75,60,80,110,FRONT,,270,0.45,1,,,2,2,,,,,,,,,,,,,,,,,
撒哈拉(Sahara),valk_sahara,轰炸机,,女武神-地平线船坞,,,750,100,300,,100,0,,100,50,100,120,120,60,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,
魔吉安娜(Morgiana),valk_morgiana,拦截机,,女武神-地平线船坞,,,400,50,300,,100,0,,225,150,100,120,240,10,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Sylvia,pirate_base,海盗基地,,,,25,30000,1750,15000,,550,200,,5,5,5,5,5,4500,NONE,,270,0.45,1,,,400,600,1000,750,10,75,7,15500,5,25,,,20,20,,,,,
#秃鹰 Mk.II(Condor Mk.II),condor_mkII,航母,fastmissileracks,,,10,5250,550,2750,1833,150,50,,45,35,25,25,15,550,OMNI,,160,0.4,1,,,65,150,120,100,2.5,40,7,9500,10,20,,,4,4,CARRIER,,,,
#光辉(Radiance),valk_radiance,战舰,valk_inferniumdrive,,,28,18500,1500,22500,,975,240,,20,20,15,4,4,3550,FRONT,,180,0.5,1,,,425,500,400,500,15,33,7,122500,8,20,660,0.5,22,22,,,,,
#梵蒂冈 Mk.II(Vatican Mk.II),valk_vatican_II,重型战巡,fastmissileracks,,,26,15500,1250,21750,,950,415,,35,20,10,5,4,2750,FRONT,,220,0.45,1.2,,,375,500,400,500,15,33,7,85250,6,15,660,0.5,18,18,,,,,
#梵蒂冈 Mk.I(Vatican Mk.I),valk_vatican_I,战巡,ammofeed,,,24,12500,1150,20000,,935,350,,45,15,10,7,5,2250,FRONT,,220,0.45,1.2,,,375,500,400,500,15,33,7,62500,4,15,660,0.5,16,16,,,,,
#极乐天堂 Mk.III(Nirvana Mk.III),valk_nirvana_III,重巡,valk_inferniumdrive,,,20,12000,1500,17500,,850,145,,40,20,15,10,8,1850,FRONT,,220,0.45,1.2,,,275,375,300,350,10,35,7,56000,3,15,540,0.5,12,12,,,,,
#极乐天堂 Mk.II(Nirvana Mk.II),valk_nirvana_II,重巡,valk_inferniumdrive,,,20,11000,1350,15000,,700,135,,45,25,20,12,10,1750,FRONT,,220,0.45,1.2,,,275,375,300,350,10,35,7,47500,2.5,15,540,0.5,10,10,,,,,
