id,type,text1,text2,text3,text4,notes
valk_azmodaeus,SHIP,"An experimental super-heavy fleet command ship, more massive than all the Design Bureau's previous work. The Azmodaeus class is the pinnacle of super battleships.

Designed after an encounter with an alien titan ship in the outer system, this behemoth is equipped with a host of advanced weapons and defenses taken from that ancient vessel. The only known completed ship of this type was lost in an engagement with the Hegemony's large offensive fleet at Heaven's Gates.
No wreckage has been found to date.",,,,
,,,,,,
valk_vatican_II,SHIP,"One of the largest super battleships the Valkyries have used in frontline combat so far, she can easily dominate the battlefield with her massive firepower and defense systems.

Unlike previous designs, the Vatican Mk.II is equipped with Stargate-class jump engines, which was why the Valkyries were still capable of interstellar travel without the use of Stargates.

The Vatican Mk.II has firepower comparable to that of an entire fleet, though it has its own design flaws, such as although her powerful fire system is capable of destroying any ship in seconds, but it is greatly limited by ammunition and strained flux dissipation channels. Her weapons layout is another flaw; she cannot effectively defend and counter attacks from specific angles. However, she can still be used as a flagship.",,,,
,,,,,,
valk_almire_III,SHIP,"The Almire Mk.III is last of the Almire assault ship line. Like her sisters, she focuses on speed and overwhelming firepower.

About the same size as the Yoshura Mk.II, She was originally designed as a super battlecruiser, but subsequent reports from the front showed that her flux system, shields, armor, and overall weaponry were not capable of performing the missions she was assigned. She was redesigned as a heavy battlecruiser, then refitted to retain her sensor and shield specifications, removing most of her isolation and adaptive armor, and downgrading her hyperdrive to a more suitable type, giving her a strong defense against aggressive attacks and electronic warfare, a powerful offensive weapon, and the ability to assist other ships on the battlefield at any time by quickly moving around. Despite losing a lot of her defensive structures, she still has enough weapons and defenses to fight any known capital ship. However, this type of ship has been largely replaced by lighter and cheaper light cruisers with similar offensive and defensive capabilities.",,,,
,,,,,,
valk_vatican_I,SHIP,"The first super battleship built by Archon Industries, it is capable of unleashing a massive wave of fighters from its six hangars, defending the Navy's every interest.

Called the ""largest carrier in the sector"", it was built 30 years ago at a cost equivalent to that of a super battleship, at a time when the Navy was desperate for supplies and lacking in resources. Once built, she served on all fronts, guarding or blockading large areas of airspace with an almost unlimited number of fighters, bombers, and light escorts that could be called upon at a moment's notice. Even more terrifying was the fact that she possessed battleship-level firepower of her own. This ship would put any pirate or raiding fleet to flight, and any notable general would prefer to consider tactical alternatives to advancing when facing her.",,,,
,,,,,,
valk_yoshura,SHIP,"A giant battleship representing the latest technological advances of the Valkyries, Yoshura is unmatched in protracted warfare. During her patrols of the starfield, enemies who face her must exercise caution.

The decision to develop the Yoshura was based on the idea of building a modern Valkyrian fleet, as most of their super battleships were aging and becoming obsolete and did not meet current naval standard. Several battleship designs were proposed, but eventually, the retired Yoshura class was deemed suitable to be used in the development of a new type of battleship. She would become larger and more powerful than any modern battleship currently owned by the Navy, while having the living standards of a luxury cruise ship.

Yoshura's hull was expanded with the addition of a hyperspace engine common on all Valkyrian super battleships, a heavily modified Vatican Mk.II engine package, an advanced bridge, a radar system, a wide variety of damping structures, fire control systems, omni-directional ECM, and an advanced AI. Her armor 8-10 meters thick, with protection up to 14 meters in important places. The shield generators have been modernized to protect the ship from danger, and finally, a powerful energy reactor was installed to power this behemoth.
The ship has also been purposely designed have first class luxury, so serving on her will be most comfortable. Upon her completion, she replaced her aging predecessor super battleships as the new pride of the Valkyrian Navy, recognized and loved by her crew as the most durable battleship ever built. Capable of withstanding incoming fire of all calibers, even torpedoes, Yoshura was considered to be the most powerful warship in the galaxy, and rival fleets considered sinking her near impossible. The name ""Yoshura"" was also used for some of her later modifications.

All known ships of this class:

VKS Valensia:
Valensia was the first ship built and commissioned of the Yoshura family. She was also the largest. When she emerged from her orbital docks, she dwarfed all other ships to date. Almost a kilometer long and three hundred meters wide, she made the main ship of the day look like a regular escort. She served the Navy for twelve years until the Battle of Heaven's Gates.
She won many battles, fought off many attacks and earned several meritorious awards.
Valencia sank countless battlecruisers and cruisers in that great battle to defend the gate. After the battle she was temporarily retired and hauled back to her homeworld due to being too badly damaged to be repaired in the field, and since then, she has remained in Archon's dockyard, slowly receiving repairs and upgrades.

VKS Templar:
Templar was built in the midst of the push to modernization. She was originally intended to replace the VKS Saint Helens Vatican Mk.IV class, a ship whose whereabouts were unknown.
After a massive air attack on Templar's fleet, her crew scuttled the Templar, which had been hit by hundreds of bombs and torpedoes.

VKS Exile:
Exile was the second Yoshura variant built six years after Valencia. Her service was incredibly short, as during a deep space encounter while on duty behind enemy lines, her starboard side came under intense fire from a phase bomber, followed by a nuclear bomb sent to her reactor. The wreckage was eventually salvaged and quickly used to produce other battleships of the same class.

VKS Saya:
The Saya was the newest ship to enter service in this class. She was built after many improvements and modifications based on the data provided by her sisters from years of combat, especially Valencia. She serves under the command of Valkyrian Admiral Cassandra Everflame even today.",,,,
valk_yoshura_prime,SHIP,"Remodeled from a prototypes of one of the revisions of the Yoshura class giant battleships, it can be called the strongest Yoshura, large enough to be titled a dreadnought. Other information is uncertain.",,,,
