id,type,text1,text2,text3,text4,notes
valk_azmodaeus,SHIP,"一个作为超重型舰队指挥舰的实验性设计，比设计局之前所有的作品都要巨大。原罪魔王级是超级战舰的巅峰之作。

在外星系与外星泰坦舰遭遇后被设计出来，这个巨物配备了从那艘古老舰船上获取的大量的先进武器与防御系统。这类舰船唯一已知的成品在和霸主的大型攻势舰队于天堂之门的交战中被击沉
至今没有搜索到残骸。",,,,
,,,,,,
valk_vatican_II,SHIP,"女武神组织目前在前线作战使用过的最大型的超级战舰之一，她庞大的火力和防御系统可以轻松主宰战场。

相比以往的设计，梵蒂冈Mk.II配备了星门级的跃迁引擎，这就是女武神组织在不使用星门的情况下依旧能进行星际旅行的原因。

梵蒂冈Mk.II自身拥有媲美整个舰队的火力,尽管它本身的设计就有缺陷，例如强大的火力系统虽然能在数秒内击毁任何船只，却因弹药限制和紧张的幅能散耗通道而受到很大的限制。她的武器布局是另一个缺陷，她无法有效防御并反击来自特定角度的攻击。不过，她仍然可以作为一艘旗舰来使用。",,,,
,,,,,,
valk_almire_III,SHIP,"赞美Mk.III是定位为突击舰的最后的品种。和他的妹妹们一样着重速度和压倒性的火力。

和约书亚Mk.II几乎一样大。她最初的设计是超级战巡，但之后的战线报告显示她的电子系统，护盾，装甲，整体武器布局无法执行她被赋予的任务。她被重新设计为重型战巡，然后在保持传感器与护盾规格，去除大部分隔离装甲与适应装甲，超空间引擎被降级为更适合的种类的改装下，成为被赋予了可以面对强势攻击和电子战的强大防御力，可作为进攻利器的强劲动力，可随时在战场上凭快速走位去辅助其他舰船的，尽管失去了大量防御结构却依然拥有足够的武装与防御去和任何已知主力舰搏斗的舰船。虽然目前这类舰船在很大程度上已被更轻快更便宜却拥有相似攻击力和防御力的轻巡所代替。",,,,
,,,,,,
valk_vatican_I,SHIP,"第一艘由奥肯制造集团制造的超级战舰，可以同时从六个机库释放庞大规模的战机军团，保卫海军的一切利益。

“星区最大的航母”之称当之无愧，这个让当时供应匮乏、资源贫化的海军绝望的，建造成本相当于一艘超级战舰的巨型航母的计划在30年前就已经开始。建造完成之后她便服役于各条战线之上，凭借接到通知片刻便能调用的，几乎无限数量的战机、轰炸机、轻型护卫去守护或封锁大片空域。更恐怖的是她自身就拥有战列级别的火力。这艘船能使任何海盗或袭击舰队望风而逃，不管是哪个著名的将领在面对她时都宁愿考虑前进以外的战术选择。",,,,
,,,,,,
valk_yoshura,SHIP,"作为女武神组织最新技术革命的代表的巨型战舰，约书亚在持久战中是无可比拟的。在她巡逻星域期间，面对她的敌人必须小心行事。

开发出约书亚是基于建设现代化女武神组织舰队的设想而做出的决定，他们大部分的超级战舰正在老化并过时，且无法适应当前海军的标准，数个战舰的设计被提出，但最终目前已退役的约书亚级被认为是个合适的用来发展成新型战舰的设计。他将变得比海军目前拥有的所有现代战舰更大更强，同时拥有豪华邮轮的居住标准。

约书亚的舰体被拓展，加装了一个在所有女武神组织超级战舰上都很常见的超空间引擎，一个经过大量改进的梵蒂冈Mk.II引擎组件，一套先进的舰桥和雷达系统多种多样的抗阻结构、火控系统、全方位ECM、外加一个先进AI。他的护甲均有8-10米厚，重要地方的防护达到14米。护盾发生器得到了现代化改造，可以保护船只远离危险，最后，还有一个强力的能量反应堆来为这个巨兽供能。
这艘船还被特意设计地一流豪华，因此在上面服役将是最舒适的。建造完成后，她代替那些古老的超级战舰成为了女武神组织海军新的骄傲，被船员们认作有史以来最耐用的战舰而爱戴。她可以蔑视来袭的各种口径炮火，甚至是鱼雷。约书亚被认为是银河中最强力的战舰，敌对舰队想击沉她近乎白日做梦。她之后的一些改良版本也沿用了“约书亚”这个称呼。

所有已知的该级舰船:

VKS瓦伦西亚(Valensia):
瓦伦西亚是约书亚家族建造并服役的第一艘舰船。她也是最大的。当她从轨道船坞出港时，迄今为止所有的舰船都相形见拙。差不多一公里长，三百米宽，使当时的主力舰看起来像个普通的小护卫。她为海军服役了12年直到天堂门之战。
赢得了许多战斗，抵御了多次进攻，获得了数个功勋。
瓦伦西亚在那场守卫星门的大战中击沉了无数战列与巡洋。战斗结束后由于被严重损坏，无法在现场进行维修，她暂时隐退并被牵引回了故乡，从那以后她一直留在Archon的船坞中，慢慢地接受维修并进行升级。

VKS圣堂武士(Templar):
圣堂武士在现代化改在的中期被建造出来。她原本被用来代替VKS圣海伦(SaintHelens)梵蒂冈Mk.IV-级，一艘下落不明的舰船。
圣堂武士的舰队在遭遇一次大规模的空袭之后，她的船员将身中数百枚炸弹和鱼雷的圣堂骑士级销毁。

VKS放逐(Exile):
放逐是瓦伦西亚建造后6年诞生的第二艘约书亚变种。她的服役时间难以置信地短，在敌后执勤的一次深空遭遇战中，她的右舷遭到了一架相位轰炸机的密集火力齐射，随后一颗核弹被送入了反应堆。残骸最终被打捞并很快被用来生产同级的其他战舰。

VKS沙耶(Saya):
沙耶是此系列最新服役的舰船。根据姐姐们多年实战提供的数据，特别是瓦伦西亚，经过多次改进和修正而制造出来。她在女武神组织禁卫海军上将CassandraEverflame的指挥下一直服役到了今天。",,,,
valk_yoshura_prime,SHIP,由巨型战舰约书亚级其中一艘改型的原型舰进行再改造而来，可以称得上是最强的约书亚，其规模足以被冠以无畏舰的称号。其余资料尚不明晰。,,,,
