name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#Small weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniature DSC,valk_dsc,2,,700,600,,25,,5,35,6,,,,KINETIC,20,,0,0.1667,1,0,0,7,3.5,14,,850,,,50,,,,"kinetic9,valk_enigma_bp",,Valkyrian Enigma Corporation,,Anti Shield,,,,,"When hitting shields, if the target's shield efficiency is less than %s, deal additional damage. Deals up to %s more damage the lower the shield efficiency.",1 | 50%,,,,
IR-PD Cannon,valk_irpdcannon,1,,150,250,,20,,0,75,2,,,,FRAGMENTATION,1,,0,0.1,1,0,1,8,1,8,,850,,,20,,,PD,"pd8,SR,valk_enigma_bp",,Valkyrian Enigma Corporation,,Point Defense,,,,,,,,,,
NX-K GR Anti-fighter Gun,valk_nxk_pd,2,,300,450,,20,,1,40,6,,,,FRAGMENTATION,10,,0,0.8,5,0.05,4,16,2,4,,800,,,10,,,"PD, ANTI_FTR","pd10,valk_enigma_bp",,Valkyrian Enigma Corporation,,Point Defense (Area),,,,,,,,,,
Light GR Lance,valk_lightlancer,2,,800,600,,50,50,1,20,6,,,,ENERGY,40,,0,2.4333,10,0.1,0,4,1,4,,1150,,,10,,,,"energy6,valk_enigma_bp",,Valkyrian Enigma Corporation,,Suppression,,,,,"Upon hitting the target, the target's [ %s ] stacks %s. If the number of stacks is greater than %s, clears them and produce a chain of shield-piercing arcs that deal a total of %s EMP, with the shield-piercing probability dependant on the target's hard flux.",GR shock | +1 | 15 | 1200,,,,
#Airborne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTR-GT Hyperspeed Laser Cannon,valk_ptr_laser,1,,600,450,,60,,0,50,3,,,,ENERGY,55,,0.02,0.4,1,0.5,5,10,0.5,15,,1200,,,,,,"SYSTEM,SHOW_IN_CODEX",energy10,,Valkyrian Enigma Corporation,,General,,,,,,,,,,
IR Burst PD Laser,valk_irpdburst,1,,200,450,225,,,0,100,5,3,0.5,,ENERGY,,150,0.1,0.1,0.3,0.1,,,,,10000,,,,,,,"PD,SYSTEM,SHOW_IN_CODEX","energy4,pd8",,Valkyrian Enigma Corporation,,Point Defense,,,,,,,,,,
X-ray Repeater,valk_xr_repeater,1,,800,500,,20,,0,50,6,,,,HIGH_EXPLOSIVE,20,,0.2,,1,0.05,8,14,0.5,15,,1200,,,,,,"SYSTEM,SHOW_IN_CODEX",he2,,Valkyrian Enigma Corporation,,Anti Armor,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Medium weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quad-mounted Heavy Machine Gun,valk_quadheavymg,1,,1250,450,,50,,5,45,8,40,8,8,FRAGMENTATION,10,,0,0.29,8,0.03,0,6,1,12,,1200,,,50,,,PD,"pd15,valk_enigma_bp",,Valkyrian Enigma Corporation,,Point Defense,,,,,,,,,,
Battlefield Dust Cannon,valk_bcnn,2,,1750,900,,200,,20,10,10,,,,KINETIC,220,,0,1.3333,1,0,2,5,2.5,5,,1000,,,10,,,,"kinetic14,LR,valk_enigma_bp",,Valkyrian Enigma Corporation,,Anti Shield,,,,,,,,,,
Heavy GR Lance,valk_heavylancer,2,,2250,700,,100,100,1,20,12,,,,ENERGY,80,,0,4.6,15,0.1,0,6,1,6,,1150,,,10,,,,"energy10,valk_enigma_bp",,Valkyrian Enigma Corporation,,Suppression,,,,,"Upon hitting the target, the target's [ %s ] stacks %s. If the number of stacks is greater than %s, clears them and produce a chain of shield-piercing arcs that deal a total of %s EMP, with the shield-piercing probability dependant on the target's hard flux.",GR shock | +1 | 15 | 1200,,,,
Twin HI-IR Laser,valk_twin_hiir_laser,1,,1500,700,,125,,1,15,10,8,2,4,ENERGY,75,,0,0.4,1,,4,12,4,6,,1000,,,10,,,,"energy10,valk_enigma_bp",,Valkyrian Enigma Corporation,,General,,,,,,,,,,
RW-BS Plasma Laser,valk_plasma_laser,2,,1500,800,,200,,50,20,10,,,,HIGH_EXPLOSIVE,200,,0,3.8,4,0.4,0,5,1,10,,1000,,,30,,,,"he14,LR,kinetic4,valk_enigma_bp",,Valkyrian Enigma Corporation,,Anti Armor,,,,,"When impacting shields, there is a %s chance of dealing an additional %s points of kinetic damage.",20% | 50~100,,,,
Light Antimatter Spear,valk_light_antimatter_laser,2,0.5,2500,700,900,,,,20,10,,,,ENERGY,,900,0.25,0.5,1.25,4,,,,,10000,,,,,,,,"energy12,beam10,valk_enigma_bp",,Valkyrian Enigma Corporation,,Anti Armor,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Large weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm GR Lance,valk_ultraheavylancer,2,,4000,800,,100,,20,12,21,,,,ENERGY,80,,0.8,0.2,10000,0.1333,5,7,0.5,5,,2000,,,20,,,,"energy15,valk_enigma_bp",,Valkyrian Enigma Corporation,,General,,,,,Weapon will gradually %s: projectiles have a maximum %s chance of being replaced with %s.,warm up | 33% | 400 Fragmentation damage,,,,
  Storm GR Lance - Bluefire,valk_ultraheavylancer_extra,,,,800,,400,,20,12,21,,,,FRAGMENTATION,80,,0.8,0.2,10000,0.1333,5,7,0.5,5,,2000,,,20,,,SYSTEM,,,,,,,,,,,,,,,
